placeid,name,norm,trainline,joinkey,latitude,longitude
256,GENOVA PEGLI,GENOVA PEGLI,,GENOVA PEGLI,44.426236,8.816871
257,GENOVA PIAZZA PRINCIPE,GENOVA PIAZZA PRINCIPE,,GENOVA PIAZZA PRINCIPE,44.417507,8.922072
255,GENOVA PIAZZA PRINCIPE SOTTERRANEA,GENOVA PIAZZA PRINCIPE SOTTERRANEA,,GENOVA PIAZZA PRINCIPE SOTTERRANEA,44.415548,8.919591
258,GENOVA PONTEDECIMO,GENOVA PONTEDECIMO,,GENOVA PONTEDECIMO,44.494365,8.905784
259,GENOVA PRA,GENOVA PRA,,GENOVA PRA,44.425391,8.789247
260,GENOVA QUARTO DEI MILLE,GENOVA QUARTO DEI MILLE,,GENOVA QUARTO DEI MILLE,44.38858,8.995793
261,GENOVA QUINTO AL MARE,GENOVA QUINTO AL MARE,,GENOVA QUINTO AL MARE,44.385,9.020556
262,GENOVA RIVAROLO,GENOVA RIVAROLO,,GENOVA RIVAROLO,44.436205,8.890942
263,GENOVA SAMPIERDARENA,GENOVA SAMPIERDARENA,,GENOVA SAMPIERDARENA,44.412869,8.887248
204,GENOVA S.BIAGIO,GENOVA SAN BIAGIO,,GENOVA SAN BIAGIO,44.482805,8.899779
266,GENOVA SESTRI PONENTE AEROPORTO,GENOVA SESTRI PONENTE AEROPORTO,GENOVA SESTRI PONENTE,GENOVA SESTRI PONENTE,44.422326,8.847956
267,GENOVA STURLA,GENOVA STURLA,,GENOVA STURLA,44.397875,8.981473
269,GENOVA VESIMA,GENOVA VESIMA,,GENOVA VESIMA,44.4164,8.71417
203,GENOVA VIA DI FRANCIA,GENOVA VIA DI FRANCIA,,GENOVA VIA DI FRANCIA,44.409426,8.901244
270,GENOVA VOLTRI,GENOVA VOLTRI,,GENOVA VOLTRI,44.428456,8.758351
5045,GERMAGNANO,GERMAGNANO,,GERMAGNANO,45.2627,7.47041
1425,GHEDI,GHEDI,,GHEDI,45.4094,10.2802
1426,GHEMME,GHEMME,,GHEMME,45.595742,8.417813
1427,GHISLARENGO,GHISLARENGO,,GHISLARENGO,45.526147,8.379222
1428,GHIVIZZANO-COREGLIA,GHIVIZZANO COREGLIA,,GHIVIZZANO COREGLIA,44.02743,10.510691
1430,GIAMPILIERI,GIAMPILIERI,,GIAMPILIERI,38.063635,15.479586
1431,GIAROLE,GIAROLE,,GIAROLE,45.05602,8.560957
1432,GIARRE RIPOSTO,GIARRE RIPOSTO,,GIARRE RIPOSTO,37.730207,15.193567
1433,GIAVE,GIAVE,,GIAVE,40.456366,8.729757
1434,GINOSA,GINOSA,,GINOSA,40.429308,16.891072
67,GIOIA TAURO,GIOIA TAURO,,GIOIA TAURO,38.42341,15.897369
1435,GIOIA DEL COLLE,GIOIA DEL COLLE,,GIOIA DEL COLLE,40.796841,16.916871
68,GIOIOSA JONICA,GIOIOSA JONICA,,GIOIOSA JONICA,38.300159,16.330775
1436,GIOJOSA MAREA,GIOJOSA MAREA,GIOIOSA MAREA,GIOIOSA MAREA,38.174724,14.894514
1437,GIOVINAZZO,GIOVINAZZO,,GIOVINAZZO,41.181121,16.66947
1438,GIUGLIANO QUALIANO,GIUGLIANO QUALIANO,,GIUGLIANO QUALIANO,40.934907,14.104281
1439,GIULIANOVA,GIULIANOVA,,GIULIANOVA,42.751806,13.96565
69,GIZZERIA LIDO,GIZZERIA LIDO,,GIZZERIA LIDO,38.9332,16.2125
1442,GLORIE,GLORIE,,GLORIE,44.4833,12.0756
1443,GODO,GODO,,GODO,44.389434,12.071461
1383,GOLFO ARANCI,GOLFO ARANCI,,GOLFO ARANCI,40.994406,9.628067
1444,GONZAGA-REGGIOLO,GONZAGA REGGIOLO,,GONZAGA REGGIOLO,44.939232,10.815191
3408,GORGO AL MONTICANO,GORGO AL MONTICANO,,GORGO AL MONTICANO,45.784488,12.554442
1445,GORIANO SICOLI,GORIANO SICOLI,,GORIANO SICOLI,42.082811,13.783807
1446,GORIZIA CENTRALE,GORIZIA CENTRALE,,GORIZIA CENTRALE,45.933305,13.606935
1447,GOZZANO,GOZZANO,,GOZZANO,45.744333,8.440843
1451,GRAGNOLA,GRAGNOLA,,GRAGNOLA,44.191294,10.109187
1452,GRAMMICHELE,GRAMMICHELE,,GRAMMICHELE,37.205354,14.639544
1453,GRANAIOLO,GRANAIOLO,,GRANAIOLO,43.652606,10.944897
1454,GRANAROLO FAENTINO,GRANAROLO FAENTINO,,GRANAROLO FAENTINO,44.35719,11.937495
1456,GRASSANO-GARAGUSO-TRICARICO,GRASSANO GARAGUSO TRICARICO,,GRASSANO GARAGUSO TRICARICO,40.593227,16.241089
1457,GRAVELLONA TOCE,GRAVELLONA TOCE,,GRAVELLONA TOCE,45.934105,8.428331
1458,GRAVINA IN PUGLIA,GRAVINA IN PUGLIA,,GRAVINA IN PUGLIA,40.825948,16.417907
1459,GRECCIO,GRECCIO,,GRECCIO,42.462812,12.777006
1460,GRICIGNANO-TEVEROLA,GRICIGNANO TEVEROLA,,GRICIGNANO TEVEROLA,40.998919,14.241529
1462,GRIGNASCO,GRIGNASCO,,GRIGNASCO,45.683126,8.333171
